Sno,Ok,SOP,Message,Msg Id,Data Role,Power Role,Obj Count,Rev,Duration,Delta,Vbus(V),Data,Start Time,End Time
85,OK,SOP,GOODCRC,0,DFP,SRC,0,v3,512,98,20765,0x1A1,13261135,13261647
86,OK,SOP,EXTENDED_CONTROL_MSG,1,DFP,SRC,1,v3,647,1614,20789,0x93B0 0x8002 0x04 0x00,13263261,13263908
87,OK,SOP,GOODCRC,1,UFP,SNK,0,v3,510,81,20765,0x281,13263989,13264499
88,OK,SOP,EXTENDED_CONTROL_MSG,1,UFP,SNK,1,v3,646,454323,20801,0x9290 0x8002 0x03 0x00,13718822,13719468
89,OK,SOP,GOODCRC,1,DFP,SRC,0,v3,512,96,20777,0x3A1,13719564,13720076
90,OK,SOP,EXTENDED_CONTROL_MSG,2,DFP,SRC,1,v3,648,1613,20801,0x95B0 0x8002 0x04 0x00,13721689,13722337
91,OK,SOP,GOODCRC,2,UFP,SNK,0,v3,510,81,20789,0x481,13722418,13722928
92,OK,SOP,EXTENDED_CONTROL_MSG,2,UFP,SNK,1,v3,646,454365,20813,0x9490 0x8002 0x03 0x00,14177293,14177939
93,OK,SOP,GOODCRC,2,DFP,SRC,0,v3,512,97,20789,0x5A1,14178036,14178548
94,OK,SOP,EXTENDED_CONTROL_MSG,3,DFP,SRC,1,v3,648,1509,20801,0x97B0 0x8002 0x04 0x00,14180057,14180705
95,OK,SOP,GOODCRC,3,UFP,SNK,0,v3,510,82,20777,0x681,14180787,14181297
96,OK,SOP,EXTENDED_CONTROL_MSG,3,UFP,SNK,1,v3,645,454443,20813,0x9690 0x8002 0x03 0x00,14635740,14636385
97,OK,SOP,GOODCRC,3,DFP,SRC,0,v3,512,96,20789,0x7A1,14636481,14636993
98,OK,SOP,EXTENDED_CONTROL_MSG,4,DFP,SRC,1,v3,647,1462,20789,0x99B0 0x8002 0x04 0x00,14638455,14639102
99,OK,SOP,GOODCRC,4,UFP,SNK,0,v3,510,81,20765,0x881,14639183,14639693
100,OK,SOP,EXTENDED_CONTROL_MSG,4,UFP,SNK,1,v3,645,454523,20801,0x9890 0x8002 0x03 0x00,15094216,15094861
101,OK,SOP,GOODCRC,4,DFP,SRC,0,v3,512,97,20777,0x9A1,15094958,15095470
102,OK,SOP,EXTENDED_CONTROL_MSG,5,DFP,SRC,1,v3,648,1803,20801,0x9BB0 0x8002 0x04 0x00,15097273,15097921
103,OK,SOP,GOODCRC,5,UFP,SNK,0,v3,510,81,20777,0xA81,15098002,15098512
104,OK,SOP,EXTENDED_CONTROL_MSG,5,UFP,SNK,1,v3,645,454145,20813,0x9A90 0x8002 0x03 0x00,15552657,15553302
105,OK,SOP,GOODCRC,5,DFP,SRC,0,v3,512,101,20789,0xBA1,15553403,15553915
106,OK,SOP,EXTENDED_CONTROL_MSG,6,DFP,SRC,1,v3,648,1783,20813,0x9DB0 0x8002 0x04 0x00,15555698,15556346
107,OK,SOP,GOODCRC,6,UFP,SNK,0,v3,510,81,20777,0xC81,15556427,15556937
108,OK,SOP,EXTENDED_CONTROL_MSG,6,UFP,SNK,1,v3,645,454171,20813,0x9C90 0x8002 0x03 0x00,16011108,16011753
109,OK,SOP,GOODCRC,6,DFP,SRC,0,v3,511,99,20789,0xDA1,16011852,16012363
110,OK,SOP,EXTENDED_CONTROL_MSG,7,DFP,SRC,1,v3,647,2061,20813,0x9FB0 0x8002 0x04 0x00,16014424,16015071
111,OK,SOP,GOODCRC,7,UFP,SNK,0,v3,510,82,20777,0xE81,16015153,16015663
